"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"        Washington",,,,,,,,,,,,,,,,,,,,"280793",,"287234",,,,,,,,"245215","249253",,,,,,,"235206","222011"
"        North Dakota",,,,,,,,,,,,,,,,,,,,"14748",,"14834",,,,,,,,"12813","11895",,,,,,,"16653","15507"
"        Oklahoma",,,,,,,,,,,,,,,,,,,,"140220",,"141679",,,,,,,,"132350","128126",,,,,,,"113611","113364"
"        South Carolina",,,,,,,,,,,,,,,,,,,,"173987",,"163838",,,,,,,,"178310","180407",,,,,,,"160368","153421"
"        Vermont",,,,,,,,,,,,,,,,,,,,"16059",,"16334",,,,,,,,"15010","14281",,,,,,,"9339","8036"
"        Pennsylvania",,,,,,,,,,,,,,,,,,,,"67674",,"313408",,,,,,,,"277182","276023",,,,,,,"210316","190816"
"        Alabama",,,,,,,,,,,,,,,,,,,,"171398",,"173253",,,,,,,,"178007","168092",,,,,,,"143774","137700"
"        Maine",,,,,,,,,,,,,,,,,,,,"34618",,"33154",,,,,,,,"31706","32934",,,,,,,"20142","18173"
"        Illinois",,,,,,,,,,,,,,,,,,,,"457723",,"431990",,,,,,,,"353347","343989",,,,,,,"255108","246264"
"        Missouri",,,,,,,,,,,,,,,,,,,,"223010",,"238411",,,,,,,,"201783","200414",,,,,,,"173380","162173"
"        New Mexico",,,,,,,,,,,,,,,,,,,,"89220",,"83095",,,,,,,,"74639","70742",,,,,,,"81865","71657"
"        Kentucky",,,,,,,,,,,,,,,,,,,,"102095",,"109001",,,,,,,,"108914","110709",,,,,,,"95899","87695"
"        Florida",,,,,,,,,,,,,,,,,,,,"808674",,"782517",,,,,,,,"712010","669035",,,,,,,"527125","486017"
"        Arkansas",,,,,,,,,,,,,,,,,,,,"92283",,"99106",,,,,,,,"109078","103775",,,,,,,"94419","87793"
"        Iowa",,,,,,,,,,,,,,,,,,,,"84463",,"88634",,,,,,,,"70080","68315",,,,,,,"65652","53385"
"        Massachusetts",,,,,,,,,,,,,,,,,,,,"167437",,"167079",,,,,,,,"153178","153905",,,,,,,"97977","87196"
"        Delaware",,,,,,,,,,,,,,,,,,,,"30922",,"27399",,,,,,,,"29685","30963",,,,,,,"23430","22481"
"        Rhode Island",,,,,,,,,,,,,,,,,,,,"32657",,"35742",,,,,,,,"27558","26910",,,,,,,"18585","17561"
"        North Carolina",,,,,,,,,,,,,,,,,,,,"354497",,"363777",,,,,,,,"343707","328719",,,,,,,"265483","258979"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Federal Bureau of Investigation","Uniform Crime Reporting Program, Crime in the United States, Table 1","","https://ucr.fbi.gov/crime-in-the-u.s/2018/crime-in-the-u.s.-2018/topic-pages/tables/table-1",,"2019","Yearly "
"Exported on: 12/21/2020"
